ID,Date,Source,Likes,Sentiments,department
943139625626980000,12/19/2017 15:23,Twitter for Android,0,1,WSUPD
942612298455232000,12/18/2017 4:27,Twitter for Android,0,1,WSUPD
941941507715682000,12/16/2017 8:02,Twitter Web Client,13,0,WSUPD
941490646275231000,12/15/2017 2:10,Twitter for Android,0,0,WSUPD
941019349212688000,12/13/2017 18:57,Twitter for Android,0,1,WSUPD
941014436336340000,12/13/2017 18:38,Twitter for Android,0,0,WSUPD
940723844054224000,12/12/2017 23:23,Twitter for Android,0,1,WSUPD
940578423872917000,12/12/2017 13:45,Twitter for Android,4,-1,WSUPD
940312575870472000,12/11/2017 20:09,Twitter for Android,0,-1,WSUPD
939954827882385000,12/10/2017 20:27,Twitter for Android,0,1,WSUPD
939596701505130000,12/9/2017 20:44,Twitter for Android,0,1,WSUPD
939224401664409000,12/8/2017 20:05,Twitter for Android,0,1,WSUPD
938858674885447000,12/7/2017 19:52,Twitter for Android,0,0,WSUPD
938055433264226000,12/5/2017 14:40,Twitter for Android,8,0,WSUPD
938032325476143000,12/5/2017 13:08,Twitter for Android,6,-1,WSUPD
935289926186360000,11/27/2017 23:31,Twitter for Android,6,1,WSUPD
933389840892211000,11/22/2017 17:40,Twitter for Android,0,1,WSUPD
933104476751351000,11/21/2017 22:46,Twitter for Android,2,-1,WSUPD
930804515489701000,11/15/2017 14:27,Twitter for Android,0,1,WSUPD
930390897396781000,11/14/2017 11:04,Twitter for Android,1,-1,WSUPD
930159623541227000,11/13/2017 19:45,Twitter for Android,0,0,WSUPD
930159558017810000,11/13/2017 19:44,Twitter for Android,0,0,WSUPD
929379301333569000,11/11/2017 16:04,Twitter for Android,0,1,WSUPD
928878564782559000,11/10/2017 6:54,Twitter for Android,6,1,WSUPD
928700003710889000,11/9/2017 19:05,Twitter for Android,0,1,WSUPD
927993878678040000,11/7/2017 20:19,Twitter for Android,0,0,WSUPD
927964063447044000,11/7/2017 18:20,Twitter for Android,0,1,WSUPD
927898972127203000,11/7/2017 14:02,Twitter for Android,0,0,WSUPD
927898780409782000,11/7/2017 14:01,Twitter for Android,6,0,WSUPD
927786196163579000,11/7/2017 6:34,Twitter for Android,2,-1,WSUPD
927634934008893000,11/6/2017 20:32,Twitter for Android,0,1,WSUPD
927630575791497000,11/6/2017 20:15,Twitter for Android,0,-1,WSUPD
927615677539766000,11/6/2017 19:16,Twitter for Android,0,-1,WSUPD
927254305278701000,11/5/2017 19:20,Twitter for Android,0,1,WSUPD
926928151019704000,11/4/2017 21:44,Twitter for Android,4,1,WSUPD
926806091442348000,11/4/2017 13:39,Twitter for Android,0,0,WSUPD
926674061576503000,11/4/2017 4:54,Twitter for Android,0,0,WSUPD
926080603304415000,11/2/2017 13:36,Twitter for Android,0,1,WSUPD
925088900221194000,10/30/2017 19:55,Twitter for Android,3,-1,WSUPD
924308014550548000,10/28/2017 16:12,Twitter for Android,0,1,WSUPD
924154578609860000,10/28/2017 6:03,Twitter for Android,2,-1,WSUPD
924111350900518000,10/28/2017 3:11,Twitter for Android,0,0,WSUPD
923235678493822000,10/25/2017 17:11,Twitter for Android,4,0,WSUPD
923177437487300000,10/25/2017 13:20,Twitter for Android,7,0,WSUPD
922942562595426000,10/24/2017 21:47,Twitter for Android,0,-1,WSUPD
921266170933719000,10/20/2017 6:45,Twitter for Android,2,-1,WSUPD
920784747613376000,10/18/2017 22:52,Twitter for Android,0,0,WSUPD
920433476549169000,10/17/2017 23:36,Twitter for Android,0,-1,WSUPD
920304971991666000,10/17/2017 15:06,Twitter for Android,0,0,WSUPD
920088962034814000,10/17/2017 0:47,Twitter for Android,0,0,WSUPD
919947081447563000,10/16/2017 15:24,Twitter for Android,0,1,WSUPD
919226908927283000,10/14/2017 15:42,Twitter for Android,9,0,WSUPD
917904213023354000,10/11/2017 0:06,Twitter for Android,3,0,WSUPD
916020690473701000,10/5/2017 19:22,Twitter for Android,0,-1,WSUPD
915668419978113000,10/4/2017 20:02,Twitter for Android,6,1,WSUPD
915592755216297000,10/4/2017 15:01,Twitter for Android,2,1,WSUPD
915368376624656000,10/4/2017 0:10,Twitter for Android,0,0,WSUPD
914831855815397000,10/2/2017 12:38,Twitter for Android,2,-1,WSUPD
914828868074262000,10/2/2017 12:26,Twitter for Android,9,0,WSUPD
913975848448995000,9/30/2017 3:56,Twitter for Android,2,1,WSUPD
913474473776599000,9/28/2017 18:44,Twitter for Android,0,1,WSUPD
911324447264690000,9/22/2017 20:20,Twitter for Android,5,0,WSUPD
911166171453550000,9/22/2017 9:51,Twitter for Android,1,0,WSUPD
911109243683483000,9/22/2017 6:05,Twitter for Android,4,1,WSUPD
910322632695959000,9/20/2017 2:00,Twitter for Android,0,0,WSUPD
909494205915033000,9/17/2017 19:08,Twitter for Android,4,1,WSUPD
909493324184252000,9/17/2017 19:04,Twitter for Android,0,1,WSUPD
909173322138693000,9/16/2017 21:53,Twitter for Android,2,1,WSUPD
908811722173112000,9/15/2017 21:56,Twitter Web Client,3,0,WSUPD
908810134037630000,9/15/2017 21:49,Twitter Web Client,4,0,WSUPD
907266400099631000,9/11/2017 15:35,Twitter for Android,1,0,WSUPD
906806879782830000,9/10/2017 9:09,TweetDeck,1,0,WSUPD
905546867647401000,9/6/2017 21:42,Twitter for Android,7,0,WSUPD
905158257542606000,9/5/2017 19:58,Twitter for Android,1,1,WSUPD
905035534082478000,9/5/2017 11:51,Twitter for Android,3,0,WSUPD
904696293188149000,9/4/2017 13:22,Twitter for Android,10,1,WSUPD
904296626109521000,9/3/2017 10:54,Twitter for Android,3,1,WSUPD
902982325671165000,8/30/2017 19:52,Twitter for Android,6,1,WSUPD
902958435024728000,8/30/2017 18:17,Twitter for Android,0,-1,WSUPD
900450067135557000,8/23/2017 20:10,Twitter for Android,0,0,WSUPD
899970178531905000,8/22/2017 12:23,Twitter for Android,7,1,WSUPD
898253869297221000,8/17/2017 18:43,Twitter for Android,0,0,WSUPD
897565252619042000,8/15/2017 21:06,Twitter for Android,5,0,WSUPD
897240194956611000,8/14/2017 23:35,Twitter for Android,0,1,WSUPD
893573671331266000,8/4/2017 20:45,Twitter Web Client,2,0,WSUPD
885519156342403000,7/13/2017 15:19,Twitter for Android,5,0,WSUPD
882754141948444000,7/6/2017 0:12,Twitter for Android,0,0,WSUPD
882043352644018000,7/4/2017 1:08,Twitter Web Client,3,1,WSUPD
881840193208233000,7/3/2017 11:41,Twitter Web Client,0,0,WSUPD
881562037700235000,7/2/2017 17:15,Twitter for Android,0,0,WSUPD
880680737724301000,6/30/2017 6:53,Twitter for Android,1,1,WSUPD
879047107428196000,6/25/2017 18:42,Twitter for Android,0,0,WSUPD
878398858790883000,6/23/2017 23:46,Twitter for Android,0,1,WSUPD
878393607761399000,6/23/2017 23:25,Twitter for Android,0,0,WSUPD
878308961941823000,6/23/2017 17:49,Twitter for Android,0,0,WSUPD
877884431888986000,6/22/2017 13:42,Twitter for Android,0,1,WSUPD
877546183987789000,6/21/2017 15:18,Twitter for Android,4,0,WSUPD
877165809247846000,6/20/2017 14:06,Twitter for Android,0,1,WSUPD
876535358212755000,6/18/2017 20:21,Twitter for Android,1,0,WSUPD
876312837588746000,6/18/2017 5:37,Twitter Web Client,4,1,WSUPD
875765605407830000,6/16/2017 17:22,Twitter for Android,8,1,WSUPD
874962936418185000,6/14/2017 12:13,Twitter for Android,0,1,WSUPD
